company,category,date,title,summary,source,url
Issuer A,Company News,2026-04-06,AI Credit-Linked Perks - Trend Hunter,,Trend Hunter,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBjMnJVZXZ1NTdHSVI0OVROWWJiLWpSci00TjhzZHpWTGZrSmpmTFExTkNmcGhsUlFtQm1rX2dHcGFqVElxSmxucHlpU3psaEVvb3hzWWZXQkpBRTlWRjRXY2VjbjhHWDRj0gFuQVVfeXFMUDdzUXZXd2VzUlgxZmdyYm01NUM1QS15UE1HQkFrYjA2MXBEZFV4UlphMU5kSS03REg4WkYxQjN5eTI2dkJyY0hLYVJfWXFsbTFzbFBVa2FvQ0Vzc0ZPSmlud1hDTDNQYWJUV3VnVkE?oc=5
Issuer A,Company News,2026-04-06,Starbucks Launches Performance-Based Incentive Program to Reward Frontline Employees - Loyalty360,,Loyalty360,https://news.google.com/rss/articles/CBMizwFBVV95cUxQamc4cnBHdmRaY183dktnRExZRWRmYzYyZ1lLU3Y2X1ZNSGxzbkF0WmFDNHZTTWVsMTF6Q0l6Y1F2NW5mM1otVzdEazUwb0JWS3dlVkZDdkl5X3NnWm5fSm9HWlV4VjNKbDY4Q1JkemFSQjhpTllRWFMtTllWRXkxOUFoWWcwT3hGRy15NE1BMS1HSVJYX2hneXozdEVVLWs0WUhFbk1mbGJYRTRNbkpXemxnbmE1eE1LRVA0WE12blpHSEtQNENmREFUZlRUMkk?oc=5
Issuer A,Company News,2026-04-10,[Expired] New Morgan Stanley Blue Cash Preferred American Express Card Launches - Upgraded Points,,Upgraded Points,https://news.google.com/rss/articles/CBMijwFBVV95cUxOdHZFdGJxQXZkOWZoOWhNLUZUZkp4RHJYWFhES2MwYy1SV2VUVmF2Z1E4OGRiamJBbTRjNU1fQnBiOWlsNUNRdkdibzRHWTVrV0dOOEJsNjZ0dVFXRlkweUxxWEJvU3NfRHh1MUt5d05VR20zOWFBT0JGWmxBMkZZNWxrUjl5dkhWNEJfVzdFUQ?oc=5
Issuer A,Company News,2026-04-10,Is American Express (AXP) Still Attractively Priced After Its Recent 30% One-Year Gain? - Yahoo Finance,,Yahoo Finance,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNzZrc09uU3FrUFVpbXZzRUM2YW40WHZjRjVqX2dOOXhPR0hDMlQ2RVdLb1NMS040WHlHVHR5UGpPb2tYeHBCdWZGNzY4Vy1TVzYtdjYtbm9rc3VIMUt6UVZWN0lpZDNKWm9JYWtNQUoxaF90N1RxWVJCZDRCMnc4YmJjUVN1ajVUeWZScUs1eFBudTU3di1xQzJkcTZNTTY1S0RnZy1TQQ?oc=5
Issuer A,Company News,2026-04-10,American Express to spend $35M to remodel Centurion Lounge at DFW International Airport - WFAA,,WFAA,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQUFp4bHpaY2FnY3VoSHhuZGZWbTdzbjBBbVhLQmx4MWpqNDBNbXpOQ1BuMXJ4S0ctV2pwUWItdWVYNWRGMzhwNXR0cl9FUFJXYnozWGsyMURwTGtKR0ozMWdJR1VTSFRKdTdlVUhhb1M4U0pwczY5U3BacEVoZjlkSDhGZ2lxSzBqQ2NwV0NDRnRRcUl2NjZXNVJQUVBGd3M2TmVtREpGOHNudjFhMzF5NDJoRWRhVm56SlYzRi1vQVA1emNZZV9GZVJMLUF6cjVPblNnSWFIVzZYTjl6UFl1M1dQY3E2QXdSc0FieF9CT1NLUQ?oc=5
Issuer A,Company News,2026-04-13,American Express Launches a Points-Earning Checking Account - Upgraded Points,,Upgraded Points,https://news.google.com/rss/articles/CBMidEFVX3lxTE52Y3BvWTNFQVRkR0lpNWxPZDc5Y29LQWt2Y3diRnZMRFlES3RWMS1la0dCTEQ2eXZnQ0RPUndEc1Z6NmdUUFRVRWVBNXAxd2JQVzdrWTNYSElpV3hzMWdOZ293a3FodDFlY0pRN29OWm5BVFZh?oc=5
Issuer A,Company News,2026-04-13,Amex Launches ‘1850 by American Express’ Pop-Up Lounge in Las Vegas - Upgraded Points,,Upgraded Points,https://news.google.com/rss/articles/CBMicEFVX3lxTFBvUC1BUnctcHNlTUw5R0dWYTZ6MUtxN2U1Q05LWjVENFZxeFE4S1gxYk9uVEk5ajFNV1dCQVc5emxTY19fcWhab01VdENOdS1UUE45TmlCd3Q3NklaQWt6WlExQm56QzJ3VW9rTlZHQ0M?oc=5
Issuer A,Company News,2026-04-13,Delta Air Lines Earnings Driven By Premium Revenue And Cost Discipline - Trefis,,Trefis,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQXhEWnRxZWRzZFhXTVMxbk9CNlhqS3B2V1BneFd3VmNGVHdKTDRMTWR4OGFZTHF4bHRYekhUc3BLNmhGLVlVU1VZajZFNDFIR242eVlsTVZneVVqLXl4X0s0SGlkVjZTT2ttVFBHdWVmODIxeGdWcHEtTWpxb1VnSHJtYXBzY0M0aUpYdzljX2dNUUNrbFpMSUVPRWZiOWlpUmQxMnA5a09BbHlzQktGMF9XeFNDRmU1THVEalpEQ3pwRnBQRUlCS0IyNA?oc=5
Issuer A,Company News,2026-04-14,Amex tries to 'grease the skids' for agentic commerce - American Banker,,American Banker,https://news.google.com/rss/articles/CBMilwFBVV95cUxQRTM0aXMxbElibm1tbWMyclpRaXdHZTBjcmhuc1FLWjFTblA0LV9wcnRjVUw3YWE1RDJJRzRMSTFjMUgzSkJYVm41X2lkQnlVSzVoYVVZcnBxSTItb1FOWkk4Nk1sZTNoMlVHQzh5LUVrWmZxTHFiTDVsNlFaX1lZR3BqVFNtRkZtNXdOX0ZZZWhBTDFkd3h3?oc=5
Issuer A,Company News,2026-04-14,American Express Stock: 2 Reasons this 175-Year-Old Giant Still Has Room to Grow - The Motley Fool,,The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxOZHNmM0J1VUVwT21EdEtSclIyOEo3U2hsUEtTd3RHMktaTEVKSnAwaDZuaGhyQmk5TkxqdDVBaEFUa1czelNQU0ZUMi1YUmd0QzR3TGRaamYtQjF2WHhUdDdEaVpON3c1VjEydk83N3dxLUR6bTk4NThfYzAxbGIweEFocGxGbFEtb09IWlV5SjJjVjFXV1RRZw?oc=5
Issuer A,Company News,2026-04-14,American Express releases tools to build AI payments—and pledges to pay the price if agents go awry - Fortune,,Fortune,https://news.google.com/rss/articles/CBMilgFBVV95cUxPOTdaRGlUaWZjZkRKQmJLamhFQXdHRllmbjhlTGJ1M1ZxUkJhTlltSjI0Qlc4VU43c09TY05tcUNWb0pUcGlUUjlQVHRsbmxaQmRnU3VEX1ZKb1hCMHlra0oxVDgyX2liRjI2Q1VRWFE3Mk9XbHNzcmQ5Vms2cnJibHdIQ0lMejM5b0k0MFpMMDE4NjJrY3c?oc=5
Issuer A,Company News,2026-04-14,American Express to Back Purchases Made by Customers’ AI Agents - PYMNTS.com,,PYMNTS.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNSVhORDlPallkQjJVMUJpUmZsZGdzTFBkdEs0ZEdSNkRMeVN3a0d4NnFwYU4zMUpMSjBLNHpEOU9RRG1uWFZaLTBPZUE2Mk85VGIybXpBWGZKODVqTGdyWWRlZmxIZC1SeXFhdkNWdVdpTGdtSUZFVHlJbE84R0xhMVh0a1FJY1NsSGJ0Y3FEcC1GRjRJMUlSTkg1cVpuUVpaaVlGZzBuSzBTT1p0WXBHbUQtd3RTVWcz?oc=5
Issuer A,Company News,2026-04-14,American Express Rolls Out New Tools In Big Bet on Agentic Shopping - ADWEEK,,ADWEEK,https://news.google.com/rss/articles/CBMiogFBVV95cUxQZkp6dURNenJ0bERMbXdONG9jeVl5TTRNeEpMd1FuMWRWWF84SGd5OFRjWkJfVU1aOFhIekh4RXI0ckhPRkVOdHdtUUk1Y1UzbmdnRHYxUUhtYlhDUDZ2aGFUQVRHUjVMaC1sRmpiTWhVUXpPbzlFNnVKQXRFQ1pIRkktVWNSWnFDM0ZGNC1PX0ZCQl9MLUhRb25nZkxkQTdjcWc?oc=5
Issuer A,Company News,2026-04-14,Amex launches agentic commerce development kit - Finextra Research,,Finextra Research,https://news.google.com/rss/articles/CBMikwFBVV95cUxQNjZTT2RFc29panBNbDNuZzNZb090VnpSR2U2cmh3Mzg0VGdQS29mbzZVQzBCU3pJZWRmQXRjZURxcUFta3UyVlRiclZiRURoR3RZNHFfNDRUV19qaGIzejh5MzBQWDYwUzk1d0tPZHE2MURVamU3RXo5aHRFa0ZHREVreW80bnBRdXVuVklUZXlUdms?oc=5
Issuer A,Company News,2026-04-14,American Express launches AI payment tool and explores stablecoin settlement scenarios - Bitget,,Bitget,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBIZmZVWks5QXN1V01zUTV6OTNnLUhCd0pQYkpHcjdLZ1FTc3AwNzg4TF9lNERXUDlBSVp6NWVGelZEWXBZandnYlBiQ1NSZ3A2SEdZMFhKaE5xUXp1VlHSAWNBVV95cUxOMmhGeWxCZ0FPSDQxN1hSLWlIRVE5NlNTVkNoLVdER2hnUE5ma3dYRU9Rc3NxYV9vcWNEX0w2VUN3WElOb09xQ0ZOZWtUdUpYT0RSWEg1QWtJNkx3TlRmOHNoSzg?oc=5
